,sex,age,Pstatus,famrel,Medu,Mjob,Fedu,Fjob,goout,health,Dalc,Walc
105,0.0,15,0.0,4,3,other,3,health,3,4,1,1
106,0.0,15,1.0,5,2,other,2,other,2,3,1,1
107,1.0,16,1.0,5,3,services,3,other,3,5,1,1
108,1.0,15,1.0,1,4,other,4,other,5,1,3,5
109,0.0,16,1.0,5,4,health,4,health,5,4,1,1
110,1.0,15,0.0,5,4,teacher,4,teacher,3,4,1,1
111,0.0,16,1.0,4,3,services,3,other,2,2,1,1
112,0.0,16,1.0,3,2,at_home,2,other,2,5,1,1
113,1.0,15,1.0,3,4,teacher,2,other,2,3,1,1
114,1.0,15,1.0,5,2,health,1,services,2,5,1,1
115,1.0,16,1.0,5,4,teacher,4,teacher,4,5,1,2
116,1.0,15,1.0,4,4,other,4,teacher,3,2,1,1
117,1.0,16,1.0,5,3,other,3,services,2,5,1,1
118,1.0,17,1.0,5,1,other,3,other,4,5,1,4
119,1.0,15,1.0,3,3,other,4,other,3,4,1,2
120,0.0,15,1.0,3,1,at_home,2,services,3,1,1,2
121,1.0,15,1.0,5,2,services,2,services,4,5,1,2
122,0.0,16,1.0,4,2,other,4,health,2,5,1,2
123,1.0,16,1.0,3,4,health,4,other,4,5,1,4
124,0.0,16,1.0,5,2,other,2,other,4,5,1,1
125,1.0,15,1.0,5,3,services,4,services,5,5,3,2
126,0.0,15,0.0,5,3,other,4,other,2,1,1,1
127,0.0,19,1.0,3,0,at_home,1,other,2,5,1,1
128,1.0,18,1.0,3,2,services,2,other,3,4,1,2
129,1.0,16,1.0,3,4,teacher,4,teacher,5,4,2,5
130,0.0,15,1.0,4,3,services,4,teacher,2,5,2,2
131,0.0,15,1.0,4,1,at_home,1,other,3,4,1,2
132,0.0,17,1.0,3,2,other,2,other,4,5,1,3
133,0.0,16,0.0,3,3,services,4,other,1,5,1,4
134,1.0,15,1.0,5,3,at_home,4,teacher,3,5,1,1
135,0.0,15,1.0,4,4,services,4,at_home,3,5,1,1
136,1.0,17,1.0,5,3,at_home,4,other,5,5,2,4
137,0.0,16,0.0,4,3,other,3,other,2,5,1,1
138,1.0,16,1.0,4,1,services,1,other,4,5,1,3
139,0.0,15,1.0,4,4,teacher,4,teacher,2,5,1,1
140,1.0,15,1.0,2,4,teacher,3,services,2,3,1,1
141,1.0,16,1.0,2,2,services,2,services,3,2,2,2
142,0.0,15,1.0,4,4,teacher,4,services,2,5,1,1
143,0.0,16,1.0,3,1,at_home,1,at_home,4,1,3,3
144,1.0,17,1.0,5,2,other,1,other,5,5,1,2
145,0.0,15,1.0,4,1,other,1,services,2,5,1,2
146,0.0,15,1.0,3,3,health,2,services,2,3,1,1
147,0.0,15,1.0,4,1,at_home,2,other,2,5,1,1
148,1.0,16,1.0,3,4,teacher,4,teacher,2,5,2,1
149,1.0,15,0.0,4,2,services,1,other,5,5,2,5
150,1.0,18,1.0,2,1,other,1,other,5,4,2,5
151,1.0,16,1.0,4,2,at_home,1,other,4,5,3,5
152,0.0,15,1.0,4,3,services,3,services,1,3,2,3
153,1.0,19,1.0,4,3,services,2,at_home,4,4,1,1
154,0.0,17,1.0,4,4,other,4,teacher,1,4,1,1
155,1.0,15,1.0,4,2,at_home,3,services,4,1,1,1
156,1.0,17,1.0,2,1,other,2,other,2,5,3,3
157,0.0,18,1.0,5,1,at_home,1,other,5,4,1,5
158,1.0,16,1.0,4,2,at_home,2,other,2,3,1,2
159,1.0,16,1.0,4,3,other,3,services,5,5,4,4
160,1.0,17,1.0,3,2,at_home,1,other,2,5,2,2
161,1.0,15,1.0,4,3,other,2,other,4,3,1,4
162,1.0,16,1.0,4,1,other,2,other,4,5,2,4
163,1.0,17,1.0,5,1,at_home,3,services,3,2,1,4
164,1.0,17,1.0,5,1,other,1,services,5,5,1,5
165,1.0,16,1.0,4,3,services,2,services,2,2,1,1
166,1.0,16,1.0,4,2,other,2,other,5,4,2,4
167,0.0,16,1.0,4,4,health,2,services,3,3,1,1
168,0.0,16,1.0,5,2,other,2,other,5,4,1,1
169,0.0,16,1.0,4,4,health,4,health,2,3,1,1
170,1.0,16,1.0,3,3,other,4,other,5,2,2,4
171,1.0,16,1.0,4,1,other,0,other,2,3,1,1
172,1.0,17,1.0,4,4,teacher,4,other,4,5,1,3
173,0.0,16,1.0,4,1,at_home,3,services,5,3,1,1
174,0.0,16,1.0,4,3,other,3,other,5,4,1,1
175,1.0,17,1.0,4,4,teacher,3,other,4,4,4,4
176,0.0,16,1.0,3,2,services,2,other,4,5,1,4
177,1.0,17,1.0,4,3,other,3,other,4,4,1,4
178,1.0,16,1.0,4,4,teacher,2,services,3,3,3,4
179,1.0,17,1.0,5,4,other,3,other,3,2,1,1
180,1.0,16,1.0,3,4,teacher,3,other,3,3,2,3
181,1.0,16,1.0,4,3,services,3,other,3,3,1,2
182,0.0,17,1.0,5,2,services,4,services,2,5,2,3
183,0.0,17,1.0,5,3,other,3,other,3,1,2,3
184,0.0,16,1.0,1,3,other,2,other,2,1,1,2
185,1.0,17,1.0,4,3,services,3,services,4,4,2,3
186,1.0,16,1.0,3,1,services,2,services,3,3,1,2
187,1.0,16,1.0,4,2,other,1,other,3,5,1,2
188,0.0,17,0.0,3,3,health,3,other,3,3,1,3
189,1.0,17,1.0,3,1,at_home,2,other,3,3,1,5
190,0.0,16,1.0,4,2,services,3,services,3,2,1,1
191,0.0,17,1.0,5,1,at_home,1,services,3,3,1,1
192,1.0,17,1.0,4,1,at_home,2,services,4,5,4,5
193,1.0,16,1.0,4,3,services,3,services,2,5,3,4
194,1.0,16,1.0,5,2,other,3,other,3,3,1,1
195,0.0,17,1.0,4,2,services,4,services,2,5,1,1
196,1.0,17,1.0,5,4,services,4,teacher,3,5,1,2
197,1.0,16,1.0,3,3,teacher,3,other,4,3,3,5
198,0.0,17,1.0,4,4,services,4,teacher,4,2,2,3
199,0.0,16,1.0,4,4,teacher,4,teacher,2,3,1,2
200,0.0,16,1.0,4,4,health,3,other,5,2,1,5
201,0.0,16,1.0,4,2,other,3,other,3,4,1,3
202,0.0,17,1.0,4,1,other,1,other,4,1,1,3
203,0.0,17,1.0,5,2,other,2,other,2,3,1,2
204,0.0,16,1.0,5,2,services,2,services,5,5,1,1
205,0.0,17,1.0,4,3,at_home,4,services,3,5,3,4
206,0.0,16,0.0,2,3,services,1,other,3,4,2,2
207,0.0,16,1.0,1,4,teacher,3,other,2,1,1,1
208,0.0,16,1.0,4,1,at_home,1,other,2,5,1,4
209,0.0,17,1.0,4,4,teacher,3,other,2,4,1,1
210,0.0,19,1.0,4,3,other,3,other,3,3,1,2
211,1.0,17,1.0,5,4,services,4,other,5,3,4,5
212,0.0,16,0.0,3,2,other,2,other,4,4,1,1
213,1.0,18,1.0,4,2,services,2,other,4,5,2,4
214,0.0,17,1.0,5,4,services,4,other,1,3,1,2
215,0.0,17,1.0,4,3,other,2,other,4,1,1,3
216,0.0,17,1.0,3,4,other,3,other,5,1,2,4
217,1.0,18,1.0,3,3,services,3,health,4,4,2,4
218,0.0,17,1.0,3,2,at_home,3,other,3,3,1,4
219,0.0,17,1.0,4,2,at_home,2,at_home,3,4,1,1
220,0.0,17,1.0,4,2,at_home,1,services,5,5,1,2
221,0.0,17,1.0,4,1,at_home,1,other,4,5,1,1
222,0.0,16,1.0,2,2,services,3,teacher,1,3,1,1
223,1.0,18,1.0,3,2,other,2,other,3,4,5,5
224,0.0,16,1.0,5,4,teacher,4,services,2,5,1,1
225,0.0,18,1.0,5,3,other,1,other,3,4,1,1
226,0.0,17,1.0,5,3,other,2,other,4,3,1,3
227,1.0,17,1.0,5,2,services,3,services,3,3,1,3
228,1.0,18,1.0,4,2,at_home,1,other,2,3,4,5
229,0.0,17,0.0,3,2,other,1,other,3,3,1,2
230,0.0,17,1.0,3,4,health,3,other,3,3,1,2
231,1.0,17,1.0,4,2,other,2,other,2,1,1,1
232,1.0,17,1.0,4,4,teacher,4,teacher,5,2,1,3
233,1.0,16,1.0,4,4,health,4,other,4,1,2,4
234,1.0,16,1.0,3,1,other,1,other,2,5,1,1
235,1.0,16,1.0,5,3,at_home,2,other,3,2,1,3
236,1.0,17,1.0,4,2,other,2,other,2,4,5,5
237,0.0,16,1.0,4,2,other,1,other,2,5,1,1
238,0.0,17,1.0,2,2,at_home,1,services,1,3,1,1
239,1.0,18,1.0,5,2,other,2,services,4,2,3,5
240,1.0,17,1.0,2,4,health,3,other,5,5,1,4
241,1.0,17,0.0,3,4,teacher,4,other,3,4,2,3
242,1.0,16,1.0,5,4,teacher,3,other,5,3,1,1
243,1.0,16,1.0,5,4,services,4,services,2,5,1,2
244,0.0,18,1.0,4,2,other,1,other,4,3,1,1
245,1.0,16,1.0,4,2,other,1,other,3,4,1,1
246,1.0,17,1.0,5,2,other,3,other,2,2,1,1
247,1.0,22,1.0,5,3,services,1,services,5,1,5,5
248,1.0,18,1.0,4,3,other,3,services,3,5,1,3
249,1.0,16,1.0,4,0,other,2,other,2,5,2,4
250,1.0,18,1.0,4,3,services,2,other,5,5,2,4
251,1.0,16,1.0,5,3,at_home,3,other,3,2,1,3
252,1.0,18,1.0,3,2,services,1,services,5,5,2,5
253,1.0,16,1.0,3,2,other,1,other,2,3,1,3
254,1.0,17,1.0,4,2,other,1,other,2,5,2,4
255,1.0,17,1.0,4,1,health,1,other,4,5,1,2
256,0.0,17,1.0,4,4,teacher,2,services,3,4,1,1
257,1.0,19,0.0,4,4,services,3,at_home,1,1,1,1
258,1.0,18,1.0,5,2,other,1,other,4,4,1,2
259,0.0,17,1.0,3,2,services,2,services,1,2,1,1
260,0.0,18,1.0,3,4,services,3,other,2,2,1,3
261,1.0,18,1.0,4,4,teacher,3,other,2,3,1,1
262,1.0,18,1.0,5,3,other,2,other,2,3,1,1
263,0.0,17,1.0,3,3,other,3,other,3,4,1,1
264,0.0,18,1.0,4,2,at_home,2,services,3,3,1,1
265,1.0,18,0.0,4,3,other,4,other,5,1,3,4
266,1.0,17,1.0,5,3,services,1,other,4,5,3,4
267,0.0,18,1.0,4,4,teacher,4,other,4,4,2,2
268,1.0,18,1.0,5,4,health,2,other,5,5,1,3
269,0.0,18,1.0,4,2,other,1,other,5,3,1,2
270,0.0,19,1.0,4,3,other,3,services,5,5,3,3
271,0.0,18,1.0,4,2,other,3,services,5,2,1,3
272,0.0,18,1.0,4,1,other,1,other,3,3,1,1
273,1.0,17,1.0,3,1,at_home,2,at_home,2,1,2,2
274,0.0,17,1.0,4,2,at_home,4,health,3,1,1,1
275,0.0,17,1.0,4,2,services,2,other,4,5,2,3
276,0.0,18,0.0,4,3,other,2,services,1,5,1,1
277,1.0,18,1.0,3,4,teacher,4,services,4,3,1,4
278,0.0,18,1.0,2,4,health,4,health,4,4,1,1
279,1.0,18,1.0,4,4,teacher,3,services,3,1,1,2
280,1.0,17,0.0,4,4,services,1,other,4,5,2,4
281,1.0,17,0.0,4,3,teacher,2,services,4,3,3,4
282,0.0,18,1.0,5,1,at_home,1,other,2,3,1,1
283,0.0,18,1.0,5,1,other,1,other,4,4,1,1
284,0.0,17,1.0,5,2,other,2,other,5,5,1,2
285,1.0,17,1.0,4,1,other,1,other,3,4,1,2
286,0.0,18,1.0,4,2,at_home,2,at_home,3,2,1,2
287,0.0,17,1.0,4,1,services,1,teacher,3,3,1,1
288,1.0,18,1.0,4,2,services,1,services,4,2,1,3
289,1.0,18,0.0,5,4,teacher,4,teacher,3,2,1,1
290,1.0,18,1.0,4,4,teacher,2,other,2,5,1,4
291,0.0,17,1.0,4,4,health,3,services,2,3,1,2
292,0.0,18,1.0,5,2,services,1,at_home,3,5,1,1
293,0.0,17,1.0,3,3,services,1,other,2,3,1,1
294,1.0,18,1.0,5,3,services,2,other,2,4,1,1
295,1.0,17,1.0,4,3,health,3,other,3,5,1,3
296,0.0,19,1.0,2,4,health,4,other,4,2,2,3
297,0.0,18,1.0,4,4,other,3,other,5,2,1,2
298,0.0,18,1.0,4,4,other,3,other,3,3,1,1
299,1.0,18,1.0,1,4,teacher,4,teacher,2,1,2,2
300,0.0,18,0.0,4,4,health,4,other,4,4,1,1
301,1.0,17,1.0,4,4,other,4,teacher,1,5,2,2
302,0.0,17,1.0,4,4,other,2,other,3,3,1,1
303,0.0,17,1.0,5,3,health,2,health,2,5,1,2
304,1.0,19,1.0,4,3,other,3,other,4,3,1,1
305,0.0,18,1.0,4,2,services,4,at_home,3,3,1,1
306,1.0,20,0.0,5,3,services,2,other,3,5,1,1
307,1.0,19,1.0,4,4,teacher,4,services,4,4,1,1
308,1.0,19,1.0,4,3,other,3,services,3,5,1,2
309,0.0,19,1.0,4,1,at_home,1,other,3,3,1,3
310,0.0,19,1.0,4,1,services,2,services,4,3,2,2
311,0.0,19,1.0,3,2,at_home,1,other,1,2,1,1
312,1.0,19,1.0,4,1,other,2,services,2,4,2,2
313,0.0,19,1.0,4,3,services,2,other,2,1,1,2
314,0.0,19,1.0,4,1,at_home,1,health,2,3,1,1
315,0.0,19,1.0,4,2,other,3,other,2,3,1,1
316,0.0,18,1.0,5,2,services,1,other,3,1,1,2
317,0.0,18,1.0,4,4,other,3,other,4,5,1,1
318,0.0,17,1.0,4,3,at_home,4,services,4,5,2,5
319,0.0,18,1.0,4,4,teacher,4,other,4,5,3,3
320,0.0,17,0.0,5,4,services,3,services,2,5,1,2
321,0.0,17,1.0,4,2,other,2,other,2,3,1,1
322,0.0,17,1.0,3,2,services,2,services,2,3,2,2
323,0.0,17,1.0,3,3,services,1,services,3,5,2,3
324,0.0,17,1.0,3,0,at_home,2,at_home,3,2,2,3
325,1.0,18,1.0,4,4,other,4,other,3,3,2,2
326,1.0,17,1.0,4,3,other,3,services,5,5,3,5
327,1.0,17,1.0,4,2,services,2,other,5,4,5,5
328,0.0,17,1.0,5,4,teacher,4,services,4,4,1,3
329,0.0,17,1.0,4,4,teacher,4,teacher,3,4,1,2
330,1.0,18,1.0,4,2,other,2,other,5,5,2,4
331,0.0,17,1.0,4,2,at_home,4,other,3,5,1,1
332,0.0,18,1.0,5,3,services,3,services,4,4,1,1
333,0.0,18,1.0,4,2,other,2,other,3,2,1,1
334,0.0,18,1.0,4,2,at_home,2,other,4,4,1,1
335,0.0,17,1.0,4,3,services,4,other,5,5,1,3
336,0.0,19,0.0,5,3,services,1,at_home,3,5,1,2
337,0.0,17,1.0,4,3,other,2,other,2,2,2,3
338,0.0,18,1.0,5,3,services,3,services,3,1,1,1
339,0.0,17,0.0,4,3,other,2,other,3,2,2,3
340,0.0,19,1.0,4,2,services,1,services,4,3,1,3
341,1.0,18,1.0,4,4,teacher,4,services,3,2,2,2
342,1.0,18,1.0,4,3,services,4,other,3,5,1,3
343,0.0,17,0.0,3,2,at_home,2,at_home,1,4,1,2
344,0.0,18,1.0,4,2,at_home,3,other,3,3,1,2
345,0.0,18,1.0,5,3,other,2,services,3,1,2,3
346,1.0,18,1.0,5,4,teacher,3,services,2,4,1,2
347,1.0,18,1.0,5,4,teacher,3,other,5,5,2,3
348,0.0,17,1.0,4,4,health,3,other,3,4,1,3
349,1.0,18,1.0,2,3,other,2,other,5,5,5,5
350,1.0,19,1.0,5,1,other,1,services,4,2,3,3
351,1.0,17,1.0,4,3,health,3,other,4,3,2,3
352,1.0,18,1.0,4,1,at_home,3,services,3,3,2,3
353,1.0,19,1.0,4,1,other,1,other,4,5,3,3
354,1.0,17,1.0,4,4,services,3,other,5,2,1,3
355,0.0,18,1.0,5,3,services,3,services,4,5,1,1
356,0.0,17,1.0,4,4,teacher,4,services,3,5,1,2
357,0.0,17,0.0,1,3,services,2,other,3,5,1,2
358,1.0,18,1.0,3,1,other,1,services,2,3,1,2
359,0.0,18,1.0,5,1,at_home,1,services,2,4,1,1
360,0.0,18,0.0,4,1,at_home,4,other,4,5,1,4
361,1.0,18,1.0,4,1,at_home,1,other,3,5,2,3
362,0.0,18,1.0,4,3,services,3,services,2,3,1,3
363,0.0,17,1.0,2,4,at_home,4,at_home,4,1,1,1
364,0.0,17,1.0,3,1,other,2,services,2,3,1,2
365,1.0,18,1.0,3,1,at_home,3,other,4,3,2,4
366,1.0,18,1.0,4,4,teacher,4,services,2,5,2,2
367,0.0,17,1.0,5,1,other,1,services,1,1,1,2
368,0.0,18,1.0,5,2,at_home,3,services,3,4,1,2
369,0.0,18,1.0,3,4,other,4,teacher,2,5,4,2
370,0.0,19,1.0,3,3,services,2,services,2,3,1,1
371,1.0,18,1.0,4,1,at_home,2,services,3,3,2,3
372,0.0,17,1.0,3,2,other,2,at_home,3,3,1,1
373,0.0,17,1.0,3,1,other,2,other,5,1,1,3
374,0.0,18,1.0,5,4,other,4,other,4,1,1,1
375,0.0,18,1.0,4,1,other,1,other,2,4,1,2
376,0.0,20,1.0,5,4,health,2,other,3,3,1,1
377,0.0,18,1.0,5,4,teacher,4,services,3,2,3,4
378,0.0,18,1.0,4,3,other,3,other,3,1,1,2
379,0.0,17,1.0,4,3,at_home,1,other,4,1,2,3
380,1.0,18,1.0,3,4,teacher,4,teacher,4,2,1,4
381,1.0,18,1.0,4,2,other,1,other,3,5,1,3
382,1.0,17,1.0,4,2,other,3,services,3,3,1,1
383,1.0,19,1.0,4,1,other,1,services,2,5,1,3
384,1.0,18,1.0,5,4,other,2,other,3,3,4,3
385,0.0,18,1.0,5,2,at_home,2,other,3,4,1,3
386,0.0,18,1.0,4,4,teacher,4,at_home,3,5,2,2
387,0.0,19,1.0,5,2,services,3,other,2,5,1,2
388,0.0,18,1.0,4,3,teacher,1,services,4,1,1,1
389,0.0,18,1.0,1,1,other,1,other,1,5,1,1
390,1.0,20,0.0,5,2,services,2,services,4,4,4,5
391,1.0,17,1.0,2,3,services,1,services,5,2,3,4
392,1.0,21,1.0,5,1,other,1,other,3,3,3,3
393,1.0,18,1.0,4,3,services,2,other,1,5,3,4
394,1.0,19,1.0,3,1,other,1,at_home,3,5,3,3
395,0.0,18,0.0,4,4,at_home,4,teacher,4,3,1,1
396,0.0,17,1.0,5,1,at_home,1,other,3,3,1,1
397,0.0,15,1.0,4,1,at_home,1,other,2,3,2,3
398,0.0,15,1.0,3,4,health,2,services,2,5,1,1
399,0.0,16,1.0,4,3,other,3,other,2,5,1,2
400,1.0,16,1.0,5,4,services,3,other,2,5,1,2
401,1.0,16,1.0,4,2,other,2,other,4,3,1,1
402,0.0,17,0.0,4,4,other,4,teacher,4,1,1,1
403,1.0,15,0.0,4,3,services,2,other,2,1,1,1
404,1.0,15,1.0,5,3,other,4,other,1,5,1,1
405,0.0,15,1.0,3,4,teacher,4,health,3,2,1,2
406,0.0,15,1.0,5,2,services,1,other,2,4,1,1
407,1.0,15,1.0,4,4,health,4,services,3,5,1,3
408,1.0,15,1.0,5,4,teacher,3,other,3,3,1,2
409,1.0,15,0.0,4,2,other,2,other,2,3,1,1
410,0.0,16,1.0,4,4,health,4,other,4,2,1,2
411,0.0,16,1.0,3,4,services,4,services,3,2,1,2
412,0.0,16,1.0,5,3,other,3,other,2,4,1,1
413,1.0,17,1.0,5,3,services,2,services,5,5,2,4
414,1.0,16,1.0,3,4,health,3,other,3,5,1,3
415,1.0,15,1.0,4,4,teacher,3,other,1,1,1,1
416,1.0,15,1.0,5,4,health,4,health,2,5,1,1
417,1.0,16,1.0,4,4,teacher,2,other,1,5,1,3
418,1.0,16,1.0,5,2,other,2,other,4,5,2,4
419,0.0,15,1.0,4,2,services,4,health,2,5,1,1
420,0.0,16,1.0,1,2,services,2,services,2,5,1,3
421,1.0,15,1.0,4,2,other,2,other,2,5,1,2
422,1.0,15,1.0,2,4,health,2,services,4,1,2,4
423,1.0,16,0.0,5,3,services,4,other,3,5,1,1
424,1.0,16,1.0,4,4,teacher,4,teacher,5,5,5,5
425,1.0,15,1.0,5,4,health,4,services,2,5,3,4
426,1.0,15,1.0,4,4,services,4,services,1,5,1,1
427,1.0,15,1.0,4,4,teacher,3,at_home,2,5,1,1
428,1.0,15,1.0,5,3,other,3,other,2,2,1,1
429,1.0,16,1.0,5,3,other,2,other,3,5,1,1
430,0.0,15,1.0,3,2,other,3,other,1,5,1,1
431,1.0,15,1.0,5,4,teacher,3,services,3,4,1,1
432,1.0,16,0.0,2,4,other,4,teacher,3,5,1,1
433,0.0,15,1.0,4,3,services,4,health,2,5,1,1
434,0.0,15,1.0,4,2,at_home,2,other,1,2,1,1
435,0.0,16,1.0,3,2,other,2,other,3,3,1,2
436,1.0,15,1.0,5,4,teacher,4,other,3,5,2,4
437,1.0,15,1.0,4,4,services,4,teacher,3,5,1,1
438,1.0,15,1.0,5,2,services,2,services,1,1,1,1
439,0.0,16,1.0,4,2,other,2,at_home,3,5,2,2
440,0.0,15,0.0,5,4,other,3,other,2,5,1,1
441,0.0,16,0.0,2,3,other,3,services,5,3,1,4
442,1.0,16,1.0,4,4,health,3,services,2,2,1,1
443,1.0,15,1.0,4,4,teacher,2,other,3,5,2,2
444,0.0,15,1.0,4,4,services,4,teacher,4,3,1,1
445,0.0,16,1.0,4,2,services,2,services,3,4,2,3
446,0.0,15,1.0,4,4,health,2,other,3,5,1,1
447,1.0,15,0.0,5,4,health,2,health,5,5,3,4
448,0.0,15,1.0,3,4,services,4,services,4,5,2,3
449,0.0,15,0.0,5,3,other,3,other,4,1,4,4
