,sex,age,Pstatus,famrel,Medu,Mjob,Fedu,Fjob,goout,health,Dalc
56,0,15,0,4,4,services,3,services,2,1,1
57,1,15,1,3,4,teacher,4,health,2,5,1
58,1,15,1,4,1,other,2,at_home,2,5,1
59,0,16,1,4,4,services,2,other,3,5,1
60,0,16,1,2,4,health,4,teacher,4,4,2
61,0,16,1,5,1,services,1,services,5,5,5
62,0,16,1,4,1,other,2,services,3,1,1
63,0,16,1,3,4,teacher,3,health,4,4,2
64,0,15,1,4,4,services,3,services,4,2,2
65,0,16,1,5,4,teacher,3,services,3,1,1
66,1,15,0,1,4,other,4,services,3,3,5
67,0,16,1,4,3,services,1,other,3,5,1
68,0,15,1,4,2,health,2,services,3,4,1
69,0,15,1,4,3,other,1,other,2,3,2
70,1,16,1,4,3,other,1,other,2,5,1
71,1,15,1,3,4,other,2,other,3,3,1
72,0,15,1,3,1,other,1,other,4,5,2
73,1,16,1,5,3,other,1,other,2,5,2
74,0,16,1,4,3,other,3,services,3,5,2
75,1,15,1,4,4,teacher,3,other,3,5,2
76,1,15,1,3,4,teacher,0,other,3,1,1
77,0,16,1,5,2,other,2,other,3,3,1
78,1,17,1,4,2,other,1,other,1,3,1
79,0,16,1,2,3,at_home,4,other,3,3,1
80,1,15,1,3,2,other,3,services,2,3,1
81,1,15,1,5,2,other,3,other,2,5,1
82,0,15,1,4,3,services,2,other,4,5,1
83,1,15,1,5,2,services,2,services,3,4,1
84,0,15,1,4,1,other,1,other,2,4,2
85,0,15,1,4,4,services,4,services,4,5,2
86,0,16,1,4,2,at_home,2,other,4,2,1
87,0,15,1,5,4,other,2,other,3,1,1
88,1,16,1,4,2,services,2,other,2,3,1
89,1,16,0,4,4,teacher,4,health,3,5,3
90,0,16,1,4,3,other,3,other,3,4,1
91,0,15,1,4,4,services,3,other,5,1,1
92,0,16,1,3,3,other,1,other,3,2,2
93,0,16,1,5,4,teacher,2,services,3,1,1
94,1,15,1,4,2,services,2,health,4,4,1
95,0,15,1,3,1,at_home,1,other,2,1,1
96,1,16,1,3,4,services,3,other,3,4,1
97,0,16,1,4,2,other,1,other,5,5,1
98,0,16,1,5,4,other,4,other,4,1,1
99,0,16,1,5,4,other,3,at_home,5,3,1
100,1,16,1,4,4,services,4,services,5,4,5
101,1,16,1,4,4,services,4,teacher,3,4,1
102,1,15,1,5,4,services,4,other,3,5,1
103,0,15,1,4,3,services,2,other,5,2,1
104,1,15,0,5,3,services,4,other,4,1,1
105,0,15,0,4,3,other,3,health,3,4,1
106,0,15,1,5,2,other,2,other,2,3,1
107,1,16,1,5,3,services,3,other,3,5,1
108,1,15,1,1,4,other,4,other,5,1,3
109,0,16,1,5,4,health,4,health,5,4,1
110,1,15,0,5,4,teacher,4,teacher,3,4,1
111,0,16,1,4,3,services,3,other,2,2,1
112,0,16,1,3,2,at_home,2,other,2,5,1
113,1,15,1,3,4,teacher,2,other,2,3,1
114,1,15,1,5,2,health,1,services,2,5,1
115,1,16,1,5,4,teacher,4,teacher,4,5,1
116,1,15,1,4,4,other,4,teacher,3,2,1
117,1,16,1,5,3,other,3,services,2,5,1
118,1,17,1,5,1,other,3,other,4,5,1
119,1,15,1,3,3,other,4,other,3,4,1
120,0,15,1,3,1,at_home,2,services,3,1,1
121,1,15,1,5,2,services,2,services,4,5,1
122,0,16,1,4,2,other,4,health,2,5,1
123,1,16,1,3,4,health,4,other,4,5,1
124,0,16,1,5,2,other,2,other,4,5,1
125,1,15,1,5,3,services,4,services,5,5,3
126,0,15,0,5,3,other,4,other,2,1,1
127,0,19,1,3,0,at_home,1,other,2,5,1
128,1,18,1,3,2,services,2,other,3,4,1
129,1,16,1,3,4,teacher,4,teacher,5,4,2
130,0,15,1,4,3,services,4,teacher,2,5,2
131,0,15,1,4,1,at_home,1,other,3,4,1
132,0,17,1,3,2,other,2,other,4,5,1
133,0,16,0,3,3,services,4,other,1,5,1
134,1,15,1,5,3,at_home,4,teacher,3,5,1
135,0,15,1,4,4,services,4,at_home,3,5,1
136,1,17,1,5,3,at_home,4,other,5,5,2
137,0,16,0,4,3,other,3,other,2,5,1
138,1,16,1,4,1,services,1,other,4,5,1
139,0,15,1,4,4,teacher,4,teacher,2,5,1
140,1,15,1,2,4,teacher,3,services,2,3,1
141,1,16,1,2,2,services,2,services,3,2,2
142,0,15,1,4,4,teacher,4,services,2,5,1
143,0,16,1,3,1,at_home,1,at_home,4,1,3
144,1,17,1,5,2,other,1,other,5,5,1
145,0,15,1,4,1,other,1,services,2,5,1
146,0,15,1,3,3,health,2,services,2,3,1
147,0,15,1,4,1,at_home,2,other,2,5,1
148,1,16,1,3,4,teacher,4,teacher,2,5,2
149,1,15,0,4,2,services,1,other,5,5,2
150,1,18,1,2,1,other,1,other,5,4,2
151,1,16,1,4,2,at_home,1,other,4,5,3
152,0,15,1,4,3,services,3,services,1,3,2
153,1,19,1,4,3,services,2,at_home,4,4,1
154,0,17,1,4,4,other,4,teacher,1,4,1
155,1,15,1,4,2,at_home,3,services,4,1,1
156,1,17,1,2,1,other,2,other,2,5,3
157,0,18,1,5,1,at_home,1,other,5,4,1
158,1,16,1,4,2,at_home,2,other,2,3,1
159,1,16,1,4,3,other,3,services,5,5,4
160,1,17,1,3,2,at_home,1,other,2,5,2
161,1,15,1,4,3,other,2,other,4,3,1
162,1,16,1,4,1,other,2,other,4,5,2
163,1,17,1,5,1,at_home,3,services,3,2,1
164,1,17,1,5,1,other,1,services,5,5,1
165,1,16,1,4,3,services,2,services,2,2,1
166,1,16,1,4,2,other,2,other,5,4,2
167,0,16,1,4,4,health,2,services,3,3,1
168,0,16,1,5,2,other,2,other,5,4,1
169,0,16,1,4,4,health,4,health,2,3,1
170,1,16,1,3,3,other,4,other,5,2,2
171,1,16,1,4,1,other,0,other,2,3,1
172,1,17,1,4,4,teacher,4,other,4,5,1
173,0,16,1,4,1,at_home,3,services,5,3,1
174,0,16,1,4,3,other,3,other,5,4,1
175,1,17,1,4,4,teacher,3,other,4,4,4
176,0,16,1,3,2,services,2,other,4,5,1
177,1,17,1,4,3,other,3,other,4,4,1
178,1,16,1,4,4,teacher,2,services,3,3,3
179,1,17,1,5,4,other,3,other,3,2,1
180,1,16,1,3,4,teacher,3,other,3,3,2
181,1,16,1,4,3,services,3,other,3,3,1
182,0,17,1,5,2,services,4,services,2,5,2
183,0,17,1,5,3,other,3,other,3,1,2
184,0,16,1,1,3,other,2,other,2,1,1
185,1,17,1,4,3,services,3,services,4,4,2
186,1,16,1,3,1,services,2,services,3,3,1
187,1,16,1,4,2,other,1,other,3,5,1
188,0,17,0,3,3,health,3,other,3,3,1
189,1,17,1,3,1,at_home,2,other,3,3,1
190,0,16,1,4,2,services,3,services,3,2,1
191,0,17,1,5,1,at_home,1,services,3,3,1
192,1,17,1,4,1,at_home,2,services,4,5,4
193,1,16,1,4,3,services,3,services,2,5,3
194,1,16,1,5,2,other,3,other,3,3,1
195,0,17,1,4,2,services,4,services,2,5,1
196,1,17,1,5,4,services,4,teacher,3,5,1
197,1,16,1,3,3,teacher,3,other,4,3,3
198,0,17,1,4,4,services,4,teacher,4,2,2
199,0,16,1,4,4,teacher,4,teacher,2,3,1
200,0,16,1,4,4,health,3,other,5,2,1
201,0,16,1,4,2,other,3,other,3,4,1
202,0,17,1,4,1,other,1,other,4,1,1
203,0,17,1,5,2,other,2,other,2,3,1
204,0,16,1,5,2,services,2,services,5,5,1
205,0,17,1,4,3,at_home,4,services,3,5,3
206,0,16,0,2,3,services,1,other,3,4,2
207,0,16,1,1,4,teacher,3,other,2,1,1
208,0,16,1,4,1,at_home,1,other,2,5,1
209,0,17,1,4,4,teacher,3,other,2,4,1
210,0,19,1,4,3,other,3,other,3,3,1
211,1,17,1,5,4,services,4,other,5,3,4
212,0,16,0,3,2,other,2,other,4,4,1
213,1,18,1,4,2,services,2,other,4,5,2
214,0,17,1,5,4,services,4,other,1,3,1
215,0,17,1,4,3,other,2,other,4,1,1
216,0,17,1,3,4,other,3,other,5,1,2
217,1,18,1,3,3,services,3,health,4,4,2
218,0,17,1,3,2,at_home,3,other,3,3,1
219,0,17,1,4,2,at_home,2,at_home,3,4,1
220,0,17,1,4,2,at_home,1,services,5,5,1
221,0,17,1,4,1,at_home,1,other,4,5,1
222,0,16,1,2,2,services,3,teacher,1,3,1
223,1,18,1,3,2,other,2,other,3,4,5
224,0,16,1,5,4,teacher,4,services,2,5,1
225,0,18,1,5,3,other,1,other,3,4,1
226,0,17,1,5,3,other,2,other,4,3,1
227,1,17,1,5,2,services,3,services,3,3,1
228,1,18,1,4,2,at_home,1,other,2,3,4
229,0,17,0,3,2,other,1,other,3,3,1
230,0,17,1,3,4,health,3,other,3,3,1
231,1,17,1,4,2,other,2,other,2,1,1
232,1,17,1,4,4,teacher,4,teacher,5,2,1
233,1,16,1,4,4,health,4,other,4,1,2
234,1,16,1,3,1,other,1,other,2,5,1
235,1,16,1,5,3,at_home,2,other,3,2,1
236,1,17,1,4,2,other,2,other,2,4,5
237,0,16,1,4,2,other,1,other,2,5,1
238,0,17,1,2,2,at_home,1,services,1,3,1
239,1,18,1,5,2,other,2,services,4,2,3
240,1,17,1,2,4,health,3,other,5,5,1
241,1,17,0,3,4,teacher,4,other,3,4,2
242,1,16,1,5,4,teacher,3,other,5,3,1
243,1,16,1,5,4,services,4,services,2,5,1
244,0,18,1,4,2,other,1,other,4,3,1
245,1,16,1,4,2,other,1,other,3,4,1
246,1,17,1,5,2,other,3,other,2,2,1
247,1,22,1,5,3,services,1,services,5,1,5
248,1,18,1,4,3,other,3,services,3,5,1
249,1,16,1,4,0,other,2,other,2,5,2
250,1,18,1,4,3,services,2,other,5,5,2
251,1,16,1,5,3,at_home,3,other,3,2,1
252,1,18,1,3,2,services,1,services,5,5,2
253,1,16,1,3,2,other,1,other,2,3,1
254,1,17,1,4,2,other,1,other,2,5,2
255,1,17,1,4,1,health,1,other,4,5,1
256,0,17,1,4,4,teacher,2,services,3,4,1
257,1,19,0,4,4,services,3,at_home,1,1,1
258,1,18,1,5,2,other,1,other,4,4,1
259,0,17,1,3,2,services,2,services,1,2,1
260,0,18,1,3,4,services,3,other,2,2,1
261,1,18,1,4,4,teacher,3,other,2,3,1
262,1,18,1,5,3,other,2,other,2,3,1
263,0,17,1,3,3,other,3,other,3,4,1
264,0,18,1,4,2,at_home,2,services,3,3,1
265,1,18,0,4,3,other,4,other,5,1,3
266,1,17,1,5,3,services,1,other,4,5,3
267,0,18,1,4,4,teacher,4,other,4,4,2
268,1,18,1,5,4,health,2,other,5,5,1
269,0,18,1,4,2,other,1,other,5,3,1
270,0,19,1,4,3,other,3,services,5,5,3
271,0,18,1,4,2,other,3,services,5,2,1
272,0,18,1,4,1,other,1,other,3,3,1
273,1,17,1,3,1,at_home,2,at_home,2,1,2
274,0,17,1,4,2,at_home,4,health,3,1,1
275,0,17,1,4,2,services,2,other,4,5,2
276,0,18,0,4,3,other,2,services,1,5,1
277,1,18,1,3,4,teacher,4,services,4,3,1
278,0,18,1,2,4,health,4,health,4,4,1
279,1,18,1,4,4,teacher,3,services,3,1,1
280,1,17,0,4,4,services,1,other,4,5,2
281,1,17,0,4,3,teacher,2,services,4,3,3
282,0,18,1,5,1,at_home,1,other,2,3,1
283,0,18,1,5,1,other,1,other,4,4,1
284,0,17,1,5,2,other,2,other,5,5,1
285,1,17,1,4,1,other,1,other,3,4,1
286,0,18,1,4,2,at_home,2,at_home,3,2,1
287,0,17,1,4,1,services,1,teacher,3,3,1
288,1,18,1,4,2,services,1,services,4,2,1
289,1,18,0,5,4,teacher,4,teacher,3,2,1
290,1,18,1,4,4,teacher,2,other,2,5,1
291,0,17,1,4,4,health,3,services,2,3,1
292,0,18,1,5,2,services,1,at_home,3,5,1
293,0,17,1,3,3,services,1,other,2,3,1
294,1,18,1,5,3,services,2,other,2,4,1
295,1,17,1,4,3,health,3,other,3,5,1
296,0,19,1,2,4,health,4,other,4,2,2
297,0,18,1,4,4,other,3,other,5,2,1
298,0,18,1,4,4,other,3,other,3,3,1
299,1,18,1,1,4,teacher,4,teacher,2,1,2
300,0,18,0,4,4,health,4,other,4,4,1
301,1,17,1,4,4,other,4,teacher,1,5,2
302,0,17,1,4,4,other,2,other,3,3,1
303,0,17,1,5,3,health,2,health,2,5,1
304,1,19,1,4,3,other,3,other,4,3,1
305,0,18,1,4,2,services,4,at_home,3,3,1
306,1,20,0,5,3,services,2,other,3,5,1
307,1,19,1,4,4,teacher,4,services,4,4,1
308,1,19,1,4,3,other,3,services,3,5,1
309,0,19,1,4,1,at_home,1,other,3,3,1
310,0,19,1,4,1,services,2,services,4,3,2
311,0,19,1,3,2,at_home,1,other,1,2,1
312,1,19,1,4,1,other,2,services,2,4,2
313,0,19,1,4,3,services,2,other,2,1,1
314,0,19,1,4,1,at_home,1,health,2,3,1
315,0,19,1,4,2,other,3,other,2,3,1
316,0,18,1,5,2,services,1,other,3,1,1
317,0,18,1,4,4,other,3,other,4,5,1
318,0,17,1,4,3,at_home,4,services,4,5,2
319,0,18,1,4,4,teacher,4,other,4,5,3
320,0,17,0,5,4,services,3,services,2,5,1
321,0,17,1,4,2,other,2,other,2,3,1
322,0,17,1,3,2,services,2,services,2,3,2
323,0,17,1,3,3,services,1,services,3,5,2
324,0,17,1,3,0,at_home,2,at_home,3,2,2
325,1,18,1,4,4,other,4,other,3,3,2
326,1,17,1,4,3,other,3,services,5,5,3
327,1,17,1,4,2,services,2,other,5,4,5
328,0,17,1,5,4,teacher,4,services,4,4,1
329,0,17,1,4,4,teacher,4,teacher,3,4,1
330,1,18,1,4,2,other,2,other,5,5,2
331,0,17,1,4,2,at_home,4,other,3,5,1
332,0,18,1,5,3,services,3,services,4,4,1
333,0,18,1,4,2,other,2,other,3,2,1
334,0,18,1,4,2,at_home,2,other,4,4,1
335,0,17,1,4,3,services,4,other,5,5,1
336,0,19,0,5,3,services,1,at_home,3,5,1
337,0,17,1,4,3,other,2,other,2,2,2
338,0,18,1,5,3,services,3,services,3,1,1
339,0,17,0,4,3,other,2,other,3,2,2
340,0,19,1,4,2,services,1,services,4,3,1
341,1,18,1,4,4,teacher,4,services,3,2,2
342,1,18,1,4,3,services,4,other,3,5,1
343,0,17,0,3,2,at_home,2,at_home,1,4,1
344,0,18,1,4,2,at_home,3,other,3,3,1
345,0,18,1,5,3,other,2,services,3,1,2
346,1,18,1,5,4,teacher,3,services,2,4,1
347,1,18,1,5,4,teacher,3,other,5,5,2
348,0,17,1,4,4,health,3,other,3,4,1
349,1,18,1,2,3,other,2,other,5,5,5
350,1,19,1,5,1,other,1,services,4,2,3
351,1,17,1,4,3,health,3,other,4,3,2
352,1,18,1,4,1,at_home,3,services,3,3,2
353,1,19,1,4,1,other,1,other,4,5,3
354,1,17,1,4,4,services,3,other,5,2,1
355,0,18,1,5,3,services,3,services,4,5,1
356,0,17,1,4,4,teacher,4,services,3,5,1
357,0,17,0,1,3,services,2,other,3,5,1
358,1,18,1,3,1,other,1,services,2,3,1
359,0,18,1,5,1,at_home,1,services,2,4,1
360,0,18,0,4,1,at_home,4,other,4,5,1
361,1,18,1,4,1,at_home,1,other,3,5,2
362,0,18,1,4,3,services,3,services,2,3,1
363,0,17,1,2,4,at_home,4,at_home,4,1,1
364,0,17,1,3,1,other,2,services,2,3,1
365,1,18,1,3,1,at_home,3,other,4,3,2
366,1,18,1,4,4,teacher,4,services,2,5,2
367,0,17,1,5,1,other,1,services,1,1,1
368,0,18,1,5,2,at_home,3,services,3,4,1
369,0,18,1,3,4,other,4,teacher,2,5,4
370,0,19,1,3,3,services,2,services,2,3,1
371,1,18,1,4,1,at_home,2,services,3,3,2
372,0,17,1,3,2,other,2,at_home,3,3,1
373,0,17,1,3,1,other,2,other,5,1,1
374,0,18,1,5,4,other,4,other,4,1,1
375,0,18,1,4,1,other,1,other,2,4,1
376,0,20,1,5,4,health,2,other,3,3,1
377,0,18,1,5,4,teacher,4,services,3,2,3
378,0,18,1,4,3,other,3,other,3,1,1
379,0,17,1,4,3,at_home,1,other,4,1,2
380,1,18,1,3,4,teacher,4,teacher,4,2,1
381,1,18,1,4,2,other,1,other,3,5,1
382,1,17,1,4,2,other,3,services,3,3,1
383,1,19,1,4,1,other,1,services,2,5,1
384,1,18,1,5,4,other,2,other,3,3,4
385,0,18,1,5,2,at_home,2,other,3,4,1
386,0,18,1,4,4,teacher,4,at_home,3,5,2
387,0,19,1,5,2,services,3,other,2,5,1
388,0,18,1,4,3,teacher,1,services,4,1,1
389,0,18,1,1,1,other,1,other,1,5,1
390,1,20,0,5,2,services,2,services,4,4,4
391,1,17,1,2,3,services,1,services,5,2,3
392,1,21,1,5,1,other,1,other,3,3,3
393,1,18,1,4,3,services,2,other,1,5,3
394,1,19,1,3,1,other,1,at_home,3,5,3
395,0,18,0,4,4,at_home,4,teacher,4,3,1
396,0,17,1,5,1,at_home,1,other,3,3,1
397,0,15,1,4,1,at_home,1,other,2,3,2
398,0,15,1,3,4,health,2,services,2,5,1
399,0,16,1,4,3,other,3,other,2,5,1
400,1,16,1,5,4,services,3,other,2,5,1
401,1,16,1,4,2,other,2,other,4,3,1
402,0,17,0,4,4,other,4,teacher,4,1,1
403,1,15,0,4,3,services,2,other,2,1,1
404,1,15,1,5,3,other,4,other,1,5,1
405,0,15,1,3,4,teacher,4,health,3,2,1
406,0,15,1,5,2,services,1,other,2,4,1
407,1,15,1,4,4,health,4,services,3,5,1
408,1,15,1,5,4,teacher,3,other,3,3,1
409,1,15,0,4,2,other,2,other,2,3,1
410,0,16,1,4,4,health,4,other,4,2,1
411,0,16,1,3,4,services,4,services,3,2,1
412,0,16,1,5,3,other,3,other,2,4,1
413,1,17,1,5,3,services,2,services,5,5,2
414,1,16,1,3,4,health,3,other,3,5,1
415,1,15,1,4,4,teacher,3,other,1,1,1
416,1,15,1,5,4,health,4,health,2,5,1
417,1,16,1,4,4,teacher,2,other,1,5,1
418,1,16,1,5,2,other,2,other,4,5,2
419,0,15,1,4,2,services,4,health,2,5,1
420,0,16,1,1,2,services,2,services,2,5,1
421,1,15,1,4,2,other,2,other,2,5,1
422,1,15,1,2,4,health,2,services,4,1,2
423,1,16,0,5,3,services,4,other,3,5,1
424,1,16,1,4,4,teacher,4,teacher,5,5,5
425,1,15,1,5,4,health,4,services,2,5,3
426,1,15,1,4,4,services,4,services,1,5,1
427,1,15,1,4,4,teacher,3,at_home,2,5,1
428,1,15,1,5,3,other,3,other,2,2,1
429,1,16,1,5,3,other,2,other,3,5,1
430,0,15,1,3,2,other,3,other,1,5,1
431,1,15,1,5,4,teacher,3,services,3,4,1
432,1,16,0,2,4,other,4,teacher,3,5,1
433,0,15,1,4,3,services,4,health,2,5,1
434,0,15,1,4,2,at_home,2,other,1,2,1
435,0,16,1,3,2,other,2,other,3,3,1
436,1,15,1,5,4,teacher,4,other,3,5,2
437,1,15,1,4,4,services,4,teacher,3,5,1
438,1,15,1,5,2,services,2,services,1,1,1
439,0,16,1,4,2,other,2,at_home,3,5,2
440,0,15,0,5,4,other,3,other,2,5,1
441,0,16,0,2,3,other,3,services,5,3,1
442,1,16,1,4,4,health,3,services,2,2,1
443,1,15,1,4,4,teacher,2,other,3,5,2
444,0,15,1,4,4,services,4,teacher,4,3,1
445,0,16,1,4,2,services,2,services,3,4,2
446,0,15,1,4,4,health,2,other,3,5,1
447,1,15,0,5,4,health,2,health,5,5,3
448,0,15,1,3,4,services,4,services,4,5,2
449,0,15,0,5,3,other,3,other,4,1,4
450,0,16,0,5,2,other,1,other,4,2,1
451,0,15,0,4,4,services,3,services,2,1,1
452,1,15,1,3,4,teacher,4,health,2,5,1
453,1,15,1,4,1,other,2,at_home,2,5,1
454,0,16,1,4,4,services,2,other,3,5,1
455,0,16,1,2,4,health,4,teacher,4,4,2
456,0,16,1,5,1,services,1,services,5,5,5
457,0,16,1,4,1,other,2,services,3,1,1
458,0,16,1,3,4,teacher,3,health,4,4,2
459,0,15,1,4,4,services,3,services,4,2,2
460,0,16,1,5,4,teacher,3,services,3,1,1
461,1,15,0,1,4,other,4,services,3,3,5
462,0,16,1,4,3,services,1,other,3,5,1
463,0,15,1,4,2,health,2,services,3,4,1
464,0,15,1,4,3,other,1,other,2,3,2
465,1,16,1,4,3,other,1,other,2,5,1
466,1,15,1,3,4,other,2,other,3,3,1
467,0,15,1,3,1,other,1,other,4,5,2
468,1,16,1,5,3,other,1,other,2,5,2
469,0,16,1,4,3,other,3,services,3,5,2
470,1,15,1,4,4,teacher,3,other,3,5,2
471,1,15,1,3,4,teacher,0,other,3,1,1
472,0,16,1,5,2,other,2,other,3,3,1
473,1,17,1,4,2,other,1,other,1,3,1
474,0,16,1,2,3,at_home,4,other,3,3,1
475,1,15,1,3,2,other,3,services,2,3,1
476,1,15,1,5,2,other,3,other,2,5,1
477,0,15,1,4,3,services,2,other,4,5,1
478,1,15,1,5,2,services,2,services,3,4,1
479,0,15,1,4,1,other,1,other,2,4,2
480,0,15,1,4,4,services,4,services,4,5,2
481,0,16,1,4,2,at_home,2,other,4,2,1
482,0,15,1,5,4,other,2,other,3,1,1
483,1,16,1,4,2,services,2,other,2,3,1
484,1,16,0,4,4,teacher,4,health,3,5,3
485,0,16,1,4,3,other,3,other,3,4,1
486,0,15,1,4,4,services,3,other,5,1,1
487,0,16,1,3,3,other,1,other,3,2,2
488,0,16,1,5,4,teacher,2,services,3,1,1
489,1,15,1,4,2,services,2,health,4,4,1
490,0,15,1,3,1,at_home,1,other,2,1,1
491,1,16,1,3,4,services,3,other,3,4,1
492,0,16,1,4,2,other,1,other,5,5,1
493,0,16,1,5,4,other,4,other,4,1,1
494,0,16,1,5,4,other,3,at_home,5,3,1
495,1,16,1,4,4,services,4,services,5,4,5
496,1,16,1,4,4,services,4,teacher,3,4,1
497,1,15,1,5,4,services,4,other,3,5,1
498,0,15,1,4,3,services,2,other,5,2,1
499,1,15,0,5,3,services,4,other,4,1,1
500,0,15,0,4,3,other,3,health,3,4,1
501,0,15,1,5,2,other,2,other,2,3,1
502,1,16,1,5,3,services,3,other,3,5,1
503,1,15,1,1,4,other,4,other,5,1,3
504,0,16,1,5,4,health,4,health,5,4,1
505,1,15,0,5,4,teacher,4,teacher,3,4,1
506,0,16,1,4,3,services,3,other,2,2,1
507,0,16,1,3,2,at_home,2,other,2,5,1
508,1,15,1,3,4,teacher,2,other,2,3,1
509,1,15,1,5,2,health,1,services,2,5,1
510,1,16,1,5,4,teacher,4,teacher,4,5,1
511,1,15,1,4,4,other,4,teacher,3,2,1
512,1,16,1,5,3,other,3,services,2,5,1
513,1,17,1,5,1,other,3,other,4,5,1
514,1,15,1,3,3,other,4,other,3,4,1
515,0,15,1,3,1,at_home,2,services,3,1,1
516,1,15,1,5,2,services,2,services,4,5,1
517,0,16,1,4,2,other,4,health,2,5,1
518,1,16,1,3,4,health,4,other,4,5,1
519,0,16,1,5,2,other,2,other,4,5,1
520,1,15,1,5,3,services,4,services,5,5,3
521,0,15,0,5,3,other,4,other,2,1,1
522,0,19,1,3,0,at_home,1,other,2,5,1
523,1,16,1,3,4,teacher,4,teacher,5,4,2
524,1,16,1,3,2,other,3,other,3,1,2
525,0,15,1,4,3,services,4,teacher,2,5,2
526,0,18,1,5,2,services,1,other,5,5,1
527,0,17,0,3,2,other,1,other,2,5,1
528,0,15,1,4,1,at_home,1,other,3,4,1
529,0,17,1,3,2,other,2,other,4,5,1
530,0,16,0,3,3,services,4,other,1,5,1
531,1,16,1,3,2,at_home,1,other,1,2,1
532,0,16,0,5,2,other,2,other,4,5,1
533,1,15,1,5,3,at_home,4,teacher,3,5,1
534,0,15,1,4,4,services,4,at_home,3,5,1
535,1,17,1,5,3,at_home,4,other,5,5,2
536,0,16,1,5,1,at_home,1,other,3,3,1
537,1,18,1,3,3,services,1,services,4,4,4
538,0,18,0,4,3,other,2,services,3,5,5
539,0,16,1,3,1,other,1,services,3,1,1
540,0,16,0,4,3,other,3,other,2,5,1
541,1,16,1,4,1,services,1,other,4,5,1
542,0,15,1,4,4,teacher,4,teacher,2,5,1
543,0,15,1,5,1,other,1,other,5,1,1
544,1,15,1,2,4,teacher,3,services,2,3,1
545,0,15,0,1,3,services,3,services,2,1,2
546,1,16,1,5,4,services,4,services,3,5,1
547,1,16,1,2,2,services,2,services,3,2,2
548,0,15,1,4,4,teacher,4,services,2,5,1
549,0,16,1,3,1,at_home,1,at_home,4,1,3
550,1,17,1,5,2,other,1,other,5,5,1
551,0,15,1,4,1,other,1,services,2,5,1
552,0,15,0,4,2,at_home,1,other,2,5,1
553,0,15,1,3,3,health,2,services,2,3,1
554,0,15,1,4,1,at_home,2,other,2,5,1
555,0,15,1,2,1,at_home,2,services,4,1,2
556,1,16,1,3,4,teacher,4,teacher,2,5,2
557,1,15,0,4,2,services,1,other,5,5,2
558,1,18,1,2,1,other,1,other,5,4,2
559,1,16,1,4,2,at_home,1,other,4,5,3
