sex,age,famsize,Pstatus,Medu,Fedu,famrel,Mjob,Fjob,studytime,failures,higher,absences,G3,romantic,freetime,goout,health,Dalc,Walc
F,16,LE3,T,3,1,3,other,other,2,0,yes,4,6,no,3,3,2,2,3
F,16,GT3,T,4,2,5,teacher,services,2,0,yes,0,10,no,3,3,1,1,1
M,15,LE3,T,2,2,4,services,health,4,0,yes,6,14,no,3,4,4,1,1
F,15,GT3,T,1,1,3,at_home,other,4,1,yes,2,10,no,1,2,1,1,1
M,16,GT3,T,4,3,3,services,other,1,0,yes,2,15,no,3,3,4,1,1
F,16,GT3,T,2,1,4,other,other,2,0,yes,2,10,yes,3,5,5,1,1
F,16,GT3,T,4,4,5,other,other,1,0,yes,6,14,no,3,4,1,1,2
F,16,GT3,T,4,3,5,other,at_home,3,0,yes,0,8,no,3,5,3,1,1
M,16,GT3,T,4,4,4,services,services,1,0,yes,14,5,no,5,5,4,5,5
M,16,GT3,T,4,4,4,services,teacher,3,0,yes,0,17,yes,4,3,4,1,1
M,15,GT3,T,4,4,5,services,other,1,0,yes,4,14,no,3,3,5,1,1
F,15,GT3,T,3,2,4,services,other,2,0,yes,26,6,no,3,5,2,1,1
M,15,GT3,A,3,4,5,services,other,2,0,yes,0,18,no,4,4,1,1,1
F,15,GT3,A,3,3,4,other,health,4,0,yes,10,11,no,3,3,4,1,1
F,15,GT3,T,2,2,5,other,other,4,0,yes,8,8,no,1,2,3,1,1
M,16,GT3,T,3,3,5,services,other,3,0,yes,2,18,no,3,3,5,1,1
M,15,GT3,T,4,4,1,other,other,4,0,yes,6,13,yes,3,5,1,3,5
F,16,LE3,T,4,4,5,health,health,3,0,yes,4,16,yes,4,5,4,1,1
M,15,LE3,A,4,4,5,teacher,teacher,1,0,yes,6,19,no,5,3,4,1,1
F,16,GT3,T,3,3,4,services,other,3,1,yes,0,10,no,1,2,2,1,1
F,16,GT3,T,2,2,3,at_home,other,2,1,yes,6,13,no,1,2,5,1,1
M,15,LE3,T,4,2,3,teacher,other,1,0,yes,10,19,no,5,2,3,1,1
M,15,GT3,T,2,1,5,health,services,2,0,yes,8,9,yes,4,2,5,1,1
M,16,GT3,T,4,4,5,teacher,teacher,2,0,yes,2,16,no,4,4,5,1,2
M,15,GT3,T,4,4,4,other,teacher,2,0,yes,2,14,no,4,3,2,1,1
M,16,GT3,T,3,3,5,other,services,1,0,yes,0,13,no,4,2,5,1,1
M,17,GT3,T,1,3,5,other,other,2,1,yes,20,8,no,2,4,5,1,4
M,15,GT3,T,3,4,3,other,other,1,0,yes,6,13,no,4,3,4,1,2
F,15,GT3,T,1,2,3,at_home,services,2,0,yes,2,15,no,2,3,1,1,2
M,15,GT3,T,2,2,5,services,services,4,0,yes,6,15,no,5,4,5,1,2
F,16,LE3,T,2,4,4,other,health,2,0,yes,2,13,yes,2,2,5,1,2
M,16,GT3,T,4,4,3,health,other,1,0,yes,18,13,no,4,4,5,1,4
F,16,GT3,T,2,2,5,other,other,2,0,yes,0,8,yes,4,4,5,1,1
M,15,GT3,T,3,4,5,services,services,1,0,yes,0,12,no,5,5,5,3,2
F,15,LE3,A,3,4,5,other,other,2,0,yes,0,11,yes,3,2,1,1,1
F,19,GT3,T,0,1,3,at_home,other,2,3,no,2,9,no,4,2,5,1,1
M,18,GT3,T,2,2,3,services,other,1,2,yes,0,0,no,3,3,4,1,2
M,16,GT3,T,4,4,3,teacher,teacher,1,0,yes,8,18,no,5,5,4,2,5
F,15,GT3,T,3,4,4,services,teacher,3,2,yes,0,0,yes,2,2,5,2,2
F,15,GT3,T,1,1,4,at_home,other,1,0,yes,0,0,yes,3,3,4,1,2
F,17,LE3,T,2,2,3,other,other,1,0,yes,12,12,yes,4,4,5,1,3
F,16,GT3,A,3,4,3,services,other,1,0,yes,16,11,no,2,1,5,1,4
M,15,GT3,T,3,4,5,at_home,teacher,2,0,yes,0,0,yes,3,3,5,1,1
F,15,GT3,T,4,4,4,services,at_home,3,0,yes,0,0,yes,3,3,5,1,1
M,17,GT3,T,3,4,5,at_home,other,2,0,yes,0,0,no,4,5,5,2,4
F,16,GT3,A,3,3,4,other,other,1,2,yes,0,0,yes,3,2,5,1,1
M,16,LE3,T,1,1,4,services,other,2,1,yes,0,12,yes,4,4,5,1,3
F,15,GT3,T,4,4,4,teacher,teacher,1,0,yes,0,15,no,3,2,5,1,1
M,15,GT3,T,4,3,2,teacher,services,4,0,yes,0,0,no,2,2,3,1,1
M,16,LE3,T,2,2,2,services,services,1,2,yes,8,9,no,3,3,2,2,2
F,15,GT3,T,4,4,4,teacher,services,3,0,yes,2,11,no,2,2,5,1,1
F,16,LE3,T,1,1,3,at_home,at_home,1,0,yes,2,13,no,4,4,1,3,3
M,17,GT3,T,2,1,5,other,other,1,3,yes,0,0,no,4,5,5,1,2
F,15,GT3,T,1,1,4,other,services,2,0,yes,0,11,no,4,2,5,1,2
F,15,GT3,T,3,2,3,health,services,2,3,yes,0,0,no,3,2,3,1,1
F,15,GT3,T,1,2,4,at_home,other,2,0,yes,2,11,no,3,2,5,1,1
M,16,GT3,T,4,4,3,teacher,teacher,1,0,no,0,0,yes,3,2,5,2,1
M,15,LE3,A,2,1,4,services,other,1,3,yes,0,10,no,5,5,5,2,5
M,18,LE3,T,1,1,2,other,other,1,3,no,0,0,yes,3,5,4,2,5
M,16,LE3,T,2,1,4,at_home,other,1,1,yes,6,14,yes,4,4,5,3,5
F,15,GT3,T,3,3,4,services,services,3,2,yes,8,10,yes,2,1,3,2,3
M,19,GT3,T,3,2,4,services,at_home,1,3,no,0,0,yes,5,4,4,1,1
F,17,GT3,T,4,4,4,other,teacher,1,0,yes,0,12,yes,2,1,4,1,1
M,15,GT3,T,2,3,4,at_home,services,2,0,yes,2,8,no,4,4,1,1,1
M,17,LE3,T,1,2,2,other,other,1,0,yes,8,13,no,2,2,5,3,3
F,18,GT3,T,1,1,5,at_home,other,1,3,yes,6,10,no,2,5,4,1,5
M,16,GT3,T,2,2,4,at_home,other,1,0,yes,2,15,no,2,2,3,1,2
M,16,GT3,T,3,3,4,other,services,2,1,yes,4,12,yes,5,5,5,4,4
M,17,LE3,T,2,1,3,at_home,other,1,2,no,0,0,yes,3,2,5,2,2
M,15,GT3,T,3,2,4,other,other,2,2,yes,6,7,yes,4,4,3,1,4
M,16,LE3,T,1,2,4,other,other,1,1,yes,0,0,no,4,4,5,2,4
M,17,GT3,T,1,3,5,at_home,services,1,0,no,2,10,no,3,3,2,1,4
M,17,LE3,T,1,1,5,other,services,2,3,no,0,7,yes,3,5,5,1,5
M,16,GT3,T,3,2,4,services,services,1,1,no,16,12,no,5,2,2,1,1
M,16,GT3,T,2,2,4,other,other,2,0,no,4,10,no,3,5,4,2,4
F,16,GT3,T,4,2,4,health,services,2,0,yes,0,16,yes,2,3,3,1,1
F,16,GT3,T,2,2,5,other,other,2,0,yes,0,0,no,1,5,4,1,1
F,16,GT3,T,4,4,4,health,health,2,0,yes,0,14,yes,4,2,3,1,1
M,16,GT3,T,3,4,3,other,other,1,2,yes,0,0,no,4,5,2,2,4
M,16,GT3,T,1,0,4,other,other,2,0,yes,2,16,yes,3,2,3,1,1
M,17,LE3,T,4,4,4,teacher,other,2,0,yes,0,10,no,4,4,5,1,3
F,16,GT3,T,1,3,4,at_home,services,2,3,yes,0,0,yes,3,5,3,1,1
F,16,LE3,T,3,3,4,other,other,2,0,yes,4,9,no,4,5,4,1,1
M,17,LE3,T,4,3,4,teacher,other,2,0,yes,4,9,no,4,4,4,4,4
F,16,GT3,T,2,2,3,services,other,2,0,yes,2,11,no,4,4,5,1,4
M,17,GT3,T,3,3,4,other,other,2,0,yes,4,6,no,3,4,4,1,4
M,16,GT3,T,4,2,4,teacher,services,1,0,yes,10,9,yes,3,3,3,3,4
M,17,GT3,T,4,3,5,other,other,2,0,yes,4,11,yes,2,3,2,1,1
M,16,GT3,T,4,3,3,teacher,other,2,0,yes,10,8,no,4,3,3,2,3
M,16,GT3,T,3,3,4,services,other,2,0,yes,2,12,yes,2,3,3,1,2
F,17,GT3,T,2,4,5,services,services,2,0,yes,0,17,no,4,2,5,2,3
F,17,LE3,T,3,3,5,other,other,2,0,yes,56,8,yes,3,3,1,2,3
F,16,GT3,T,3,2,1,other,other,2,0,yes,14,12,no,2,2,1,1,2
M,17,GT3,T,3,3,4,services,services,2,0,yes,12,11,yes,3,4,4,2,3
M,16,GT3,T,1,2,3,services,services,1,0,yes,2,11,yes,3,3,3,1,2
M,16,LE3,T,2,1,4,other,other,2,0,yes,0,15,yes,2,3,5,1,2
F,17,GT3,A,3,3,3,health,other,2,0,yes,6,9,yes,3,3,3,1,3
M,17,GT3,T,1,2,3,at_home,other,2,0,yes,4,10,no,1,3,3,1,5
F,16,GT3,T,2,3,4,services,services,2,0,yes,10,13,no,3,3,2,1,1
F,17,GT3,T,1,1,5,at_home,services,2,0,yes,0,9,no,3,3,3,1,1
M,17,GT3,T,1,2,4,at_home,services,2,0,yes,12,8,no,4,4,5,4,5
M,16,GT3,T,3,3,4,services,services,1,0,yes,8,10,no,3,2,5,3,4
M,16,GT3,T,2,3,5,other,other,1,0,yes,0,14,no,3,3,3,1,1
F,17,LE3,T,2,4,4,services,services,2,0,yes,0,15,yes,3,2,5,1,1
M,17,GT3,T,4,4,5,services,teacher,1,0,yes,4,16,no,2,3,5,1,2
M,16,LE3,T,3,3,3,teacher,other,1,0,yes,8,10,no,3,4,3,3,5
F,17,GT3,T,4,4,4,services,teacher,1,1,yes,24,18,no,2,4,2,2,3
F,16,LE3,T,4,4,4,teacher,teacher,2,0,yes,0,10,no,5,2,3,1,2
F,16,GT3,T,4,3,4,health,other,2,0,yes,2,16,no,3,5,2,1,5
F,16,GT3,T,2,3,4,other,other,2,0,yes,6,10,no,4,3,4,1,3
F,17,GT3,T,1,1,4,other,other,2,0,yes,4,10,no,4,4,1,1,3
F,17,GT3,T,2,2,5,other,other,1,0,yes,18,6,no,3,2,3,1,2
F,16,GT3,T,2,2,5,services,services,4,0,yes,6,11,no,3,5,5,1,1
F,17,GT3,T,3,4,4,at_home,services,3,1,yes,28,9,yes,4,3,5,3,4
F,16,GT3,A,3,1,2,services,other,2,3,yes,5,7,no,3,3,4,2,2
F,16,GT3,T,4,3,1,teacher,other,2,0,yes,10,13,yes,3,2,1,1,1
F,16,GT3,T,1,1,4,at_home,other,1,0,yes,6,10,no,3,2,5,1,4
F,17,GT3,T,4,3,4,teacher,other,3,0,yes,6,7,yes,4,2,4,1,1
F,19,GT3,T,3,3,4,other,other,4,0,yes,10,8,no,3,3,3,1,2
M,17,LE3,T,4,4,5,services,other,2,0,yes,13,13,yes,3,5,3,4,5
F,16,GT3,A,2,2,3,other,other,2,0,yes,0,14,no,3,4,4,1,1
M,18,GT3,T,2,2,4,services,other,2,1,yes,15,8,no,4,4,5,2,4
F,17,LE3,T,4,4,5,services,other,1,0,yes,12,10,no,2,1,3,1,2
F,17,LE3,T,3,2,4,other,other,2,0,yes,2,15,no,4,4,1,1,3
F,17,GT3,T,4,3,3,other,other,2,2,yes,22,4,yes,4,5,1,2,4
M,18,LE3,T,3,3,3,services,health,2,1,yes,13,8,no,2,4,4,2,4
F,17,GT3,T,2,3,3,at_home,other,1,0,yes,3,8,no,3,3,3,1,4
F,17,GT3,T,2,2,4,at_home,at_home,3,0,yes,4,10,no,3,3,4,1,1
F,17,GT3,T,2,1,4,at_home,services,2,0,yes,2,6,no,2,5,5,1,2
F,17,GT3,T,1,1,4,at_home,other,3,1,yes,0,0,yes,3,4,5,1,1
F,16,GT3,T,2,3,2,services,teacher,2,0,yes,2,17,no,3,1,3,1,1
M,18,GT3,T,2,2,3,other,other,2,0,yes,0,13,no,3,3,4,5,5
F,16,GT3,T,4,4,5,teacher,services,3,0,yes,0,14,no,3,2,5,1,1
F,18,GT3,T,3,1,5,other,other,2,1,yes,16,7,yes,3,3,4,1,1
F,17,GT3,T,3,2,5,other,other,2,0,yes,10,15,no,3,4,3,1,3
M,17,LE3,T,2,3,5,services,services,2,0,yes,2,12,no,3,3,3,1,3
M,18,LE3,T,2,1,4,at_home,other,2,0,yes,14,9,yes,3,2,3,4,5
F,17,GT3,A,2,1,3,other,other,3,0,yes,10,12,yes,2,3,3,1,2
F,17,LE3,T,4,3,3,health,other,2,0,yes,14,14,yes,2,3,3,1,2
M,17,GT3,T,2,2,4,other,other,2,0,yes,4,11,no,5,2,1,1,1
M,17,GT3,T,4,4,4,teacher,teacher,2,0,yes,14,9,yes,5,5,2,1,3
M,16,GT3,T,4,4,4,health,other,2,0,yes,2,13,no,2,4,1,2,4
M,16,LE3,T,1,1,3,other,other,2,0,yes,18,6,no,4,2,5,1,1
M,16,GT3,T,3,2,5,at_home,other,3,0,yes,10,10,yes,3,3,2,1,3
M,17,LE3,T,2,2,4,other,other,2,0,yes,4,13,yes,4,2,4,5,5
F,16,GT3,T,2,1,4,other,other,1,0,yes,20,12,yes,5,2,5,1,1
F,17,GT3,T,2,1,2,at_home,services,2,0,yes,2,11,no,1,1,3,1,1
M,18,GT3,T,2,2,5,other,services,2,1,no,0,0,no,5,4,2,3,5
M,17,LE3,T,4,3,2,health,other,2,0,yes,14,12,yes,5,5,5,1,4
M,17,LE3,A,4,4,3,teacher,other,2,0,yes,2,12,no,3,3,4,2,3
M,16,LE3,T,4,3,5,teacher,other,1,0,yes,0,0,no,4,5,3,1,1
M,16,GT3,T,4,4,5,services,services,1,0,yes,0,12,no,3,2,5,1,2
F,18,GT3,T,2,1,4,other,other,3,0,yes,0,0,yes,4,4,3,1,1
M,16,GT3,T,2,1,4,other,other,1,0,yes,6,18,no,3,3,4,1,1
M,17,GT3,T,2,3,5,other,other,1,0,yes,4,13,no,2,2,2,1,1
M,22,GT3,T,3,1,5,services,services,1,3,no,16,8,yes,4,5,1,5,5
M,18,LE3,T,3,3,4,other,services,2,1,yes,8,5,yes,3,3,5,1,3
M,16,GT3,T,0,2,4,other,other,1,0,yes,0,15,no,3,2,5,2,4
M,18,GT3,T,3,2,4,services,other,1,1,no,0,8,no,4,5,5,2,4
M,16,GT3,T,3,3,5,at_home,other,2,0,yes,6,10,no,3,3,2,1,3
M,18,GT3,T,2,1,3,services,services,1,1,no,4,8,no,2,5,5,2,5
M,16,GT3,T,2,1,3,other,other,1,0,yes,0,8,no,3,2,3,1,3
M,17,GT3,T,2,1,4,other,other,1,0,yes,0,12,no,4,2,5,2,4
M,17,LE3,T,1,1,4,health,other,1,1,yes,2,8,no,4,4,5,1,2
F,17,LE3,T,4,2,4,teacher,services,4,0,yes,6,13,no,2,3,4,1,1
M,19,LE3,A,4,3,4,services,at_home,2,0,yes,12,11,no,3,1,1,1,1
M,18,GT3,T,2,1,5,other,other,2,0,yes,8,14,no,2,4,4,1,2
F,17,LE3,T,2,2,3,services,services,4,0,yes,0,0,yes,4,1,2,1,1
F,18,GT3,T,4,3,3,services,other,2,0,yes,21,18,yes,1,2,2,1,3
M,18,GT3,T,4,3,4,teacher,other,2,0,yes,2,8,no,3,2,3,1,1
M,18,GT3,T,3,2,5,other,other,3,0,yes,1,12,no,3,2,3,1,1
F,17,GT3,T,3,3,3,other,other,3,0,yes,4,9,no,2,3,4,1,1
F,18,GT3,T,2,2,4,at_home,services,3,0,yes,0,0,yes,3,3,3,1,1
M,18,LE3,A,3,4,4,other,other,2,0,yes,13,17,no,2,5,1,3,4
M,17,GT3,T,3,1,5,services,other,2,0,yes,2,10,yes,4,4,5,3,4
F,18,GT3,T,4,4,4,teacher,other,2,0,yes,8,11,no,3,4,4,2,2
M,18,GT3,T,4,2,5,health,other,2,0,yes,10,10,yes,4,5,5,1,3
F,18,GT3,T,2,1,4,other,other,2,0,no,0,0,yes,3,5,3,1,2
F,19,GT3,T,3,3,4,other,services,2,2,yes,15,9,no,3,5,5,3,3
F,18,GT3,T,2,3,4,other,services,4,0,yes,4,14,yes,5,5,2,1,3
F,18,LE3,T,1,1,4,other,other,2,0,yes,2,11,no,4,3,3,1,1
M,17,GT3,T,1,2,3,at_home,at_home,2,0,yes,2,14,yes,5,2,1,2,2
F,17,GT3,T,2,4,4,at_home,health,2,0,yes,2,10,yes,3,3,1,1,1
F,17,LE3,T,2,2,4,services,other,2,0,yes,6,12,yes,4,4,5,2,3
F,18,GT3,A,3,2,4,other,services,2,0,no,75,9,yes,1,1,5,1,1
M,18,GT3,T,4,4,3,teacher,services,1,0,yes,22,9,no,2,4,3,1,4
F,18,GT3,T,4,4,2,health,health,2,1,yes,15,8,yes,4,4,4,1,1
M,18,LE3,T,4,3,4,teacher,services,1,0,yes,8,10,no,2,3,1,1,2
M,17,LE3,A,4,1,4,services,other,1,0,yes,30,8,yes,5,4,5,2,4
M,17,LE3,A,3,2,4,teacher,services,1,1,yes,19,10,no,4,4,3,3,4
F,18,LE3,T,1,1,5,at_home,other,4,0,yes,1,12,no,2,2,3,1,1
F,18,GT3,T,1,1,5,other,other,2,0,yes,4,10,no,4,4,4,1,1
F,17,GT3,T,2,2,5,other,other,2,0,yes,4,11,no,4,5,5,1,2
M,17,GT3,T,1,1,4,other,other,2,0,yes,2,11,no,3,3,4,1,2
F,18,GT3,T,2,2,4,at_home,at_home,3,0,yes,5,19,no,3,3,2,1,2
F,17,GT3,T,1,1,4,services,teacher,3,0,yes,6,12,no,3,3,3,1,1
M,18,GT3,T,2,1,4,services,services,3,0,yes,6,14,no,2,4,2,1,3
M,18,LE3,A,4,4,5,teacher,teacher,2,0,yes,9,15,no,4,3,2,1,1
M,18,GT3,T,4,2,4,teacher,other,2,0,yes,11,11,yes,3,2,5,1,4
F,17,GT3,T,4,3,4,health,services,3,0,yes,0,15,no,2,2,3,1,2
F,18,LE3,T,2,1,5,services,at_home,2,1,yes,12,13,yes,4,3,5,1,1
F,17,LE3,T,3,1,3,services,other,4,0,yes,6,18,no,1,2,3,1,1
M,18,LE3,T,3,2,5,services,other,3,0,yes,8,14,no,4,2,4,1,1
M,17,GT3,T,3,3,4,health,other,1,0,yes,4,11,no,4,3,5,1,3
F,19,GT3,T,4,4,2,health,other,2,0,yes,0,0,no,3,4,2,2,3
F,18,LE3,T,4,3,4,other,other,2,0,yes,10,8,yes,4,5,2,1,2
F,18,GT3,T,4,3,4,other,other,4,0,yes,0,14,no,3,3,3,1,1
M,18,LE3,T,4,4,1,teacher,teacher,1,0,yes,5,16,yes,4,2,1,2,2
F,18,LE3,A,4,4,4,health,other,2,0,yes,14,11,yes,2,4,4,1,1
M,17,LE3,T,4,4,4,other,teacher,1,0,yes,0,10,no,1,1,5,2,2
F,17,GT3,T,4,2,4,other,other,3,0,yes,0,14,no,3,3,3,1,1
F,17,GT3,T,3,2,5,health,health,4,0,yes,0,18,no,2,2,5,1,2
M,19,GT3,T,3,3,4,other,other,2,1,yes,20,13,yes,4,4,3,1,1
F,18,GT3,T,2,4,4,services,at_home,2,1,yes,8,12,no,4,3,3,1,1
M,20,GT3,A,3,2,5,services,other,1,0,yes,0,18,no,5,3,5,1,1
M,19,GT3,T,4,4,4,teacher,services,1,1,yes,38,8,yes,3,4,4,1,1
M,19,GT3,T,3,3,4,other,services,2,1,yes,0,12,yes,5,3,5,1,2
F,19,LE3,T,1,1,4,at_home,other,2,1,yes,18,10,no,4,3,3,1,3
F,19,LE3,T,1,2,4,services,services,2,1,yes,0,0,yes,2,4,3,2,2
F,19,GT3,T,2,1,3,at_home,other,2,0,no,20,13,yes,4,1,2,1,1
M,19,GT3,T,1,2,4,other,services,2,1,yes,3,11,no,5,2,4,2,2
F,19,LE3,T,3,2,4,services,other,2,1,yes,22,11,yes,2,2,1,1,2
